index,open,high,low,close
2020/3/5,8732.24,9168.59,8728.45,9115.82
2020/3/6,9115.82,9183.52,9001.59,9138.35
2020/3/7,9138.35,9217.36,8861.93,8892.79
2020/3/8,8892.79,8943.75,8015.09,8079.07
2020/3/9,8284.55,8304.79,7639.38,7861.2
2020/3/10,7861.2,8157.03,7740.19,7999.1
2020/3/11,7999.1,8048.88,7595.75,7863.14
2020/3/12,7863.14,7987.27,5597.67,5725.35
2020/3/13,5725.33,5991.58,3914.7,5434.09
2020/3/14,5433.79,5774.1,5212.12,5334.27
2020/3/15,5334.27,5587.07,5058.75,5177.49
2020/3/16,5177.49,5965.38,4442.65,4904.48
2020/3/17,4904.73,5504.29,4868.47,5469.8
2020/3/18,5469.8,5566.16,5028.35,5338.27
2020/3/19,5338.27,6390.96,5266.46,6254.32
2020/3/20,6254.4,6929.38,5689.23,5971.92
2020/3/21,5971.92,6380.53,5868.96,6336.94
2020/3/22,6336.94,6455.68,5793.05,5937.7
2020/3/23,5937.7,6622.44,5687.89,6414.54
2020/3/24,6414.57,6859.95,6360.12,6752.28
2020/3/25,6752.28,6979.44,6470.66,6598.56
2020/3/26,6598.56,6793.33,6529.48,6744.69
2020/3/27,6744.69,6869.21,6585.05,6683.67
2020/3/28,6683.67,6707.93,6038.18,6258.91
2020/3/29,6259.06,6279.13,5871.29,5949.89
2020/3/30,5949.89,6519.16,5857.03,6477.56
2020/3/31,6477.56,6623.2,6342.99,6481.37
2020/4/1,6481.37,6494.75,6161.91,6351.21
2020/4/2,6351.21,7243.23,6350.08,6749.37
2020/4/3,6749.37,7048.39,6614.15,6703.55
2020/4/4,6703.55,7010.43,6660.63,6843.81
2020/4/5,6843.54,6911.37,6683.18,6761.43
2020/4/6,6761.43,7321.8,6729.73,7231.12
2020/4/7,7231.12,7467.1,7080.3,7118.23
2020/4/8,7118.23,7424.94,7086.65,7325.08
2020/4/9,7325.08,7396.91,7113.8,7306.08
2020/4/10,7306.08,7324.13,6752.18,6920.1
2020/4/11,6920.1,6954.95,6775.23,6796.91
2020/4/12,6796.91,7199.38,6782.79,7122.4
2020/4/13,7123.17,7149.44,6580.58,6828.62
2020/4/14,6828.62,6987.05,6771.91,6873.41
2020/4/15,6873.41,6938.99,6694.18,6752.45
2020/4/16,6752.45,7140.46,6478.31,7060.08
2020/4/17,7060.08,7211.03,7001.89,7060.14
2020/4/18,7060.14,7280,7024.17,7233.21
2020/4/19,7233.21,7301.74,7065.31,7150.37
2020/4/20,7150.37,7221.96,6760.34,6868.11
2020/4/21,6867.31,6950.67,6775.67,6894.6
2020/4/22,6894.62,7164.97,6826.9,7119.34
2020/4/23,7119.34,7767.48,7037.66,7541.59
2020/4/24,7541.59,7617.9,7404.22,7533.88
2020/4/25,7533.88,7715.84,7443.1,7553.5
2020/4/26,7553.16,7709.2,7491.9,7651.93
2020/4/27,7651.93,7798.33,7592.17,7708.12
2020/4/28,7708.17,7793.18,7671.47,7736.85
2020/4/29,7736.85,8961.86,7719.95,8933.48
2020/4/30,8933.48,9467.99,8412.87,8826.56
2020/5/1,8826.53,9071.16,8594.33,8734.2
2020/5/2,8734.1,9016.73,8733.82,8934.5
2020/5/3,8934.5,9199.78,8734.4,8848.36
2020/5/4,8848.41,8965.14,8537.43,8921.68
2020/5/5,8921.68,9118.11,8773.38,8951.51
2020/5/6,8951.51,9396.7,8922.86,9250.9
2020/5/7,9250.9,9966.38,9045.24,9801.31
2020/5/8,9801.31,10069.79,9731.33,9998.9
2020/5/9,9998.9,10020.03,9525.34,9649.88
2020/5/10,9650.46,9676.45,8134.55,8675.29
2020/5/11,8675.29,9169.08,8200.93,8636.21
2020/5/12,8636.21,8978.62,8476.47,8824.98
2020/5/13,8824.98,9341.21,8746.89,9300.04
2020/5/14,9300.04,9939.63,9264.85,9656.61
2020/5/15,9656.61,9849.05,9128,9241.91
2020/5/16,9241.91,9587.11,9206.51,9381.42
2020/5/17,9381.59,9888.83,9328.07,9738.8
2020/5/18,9738.8,9947.95,9464.54,9677.73
2020/5/19,9677.73,9897.4,9468.05,9690.24
2020/5/20,9690.24,9837.27,9306.07,9588.55
2020/5/21,9588.55,9589.47,8805.13,9056.92
2020/5/22,9056.92,9263.35,8928.79,9181
2020/5/23,9181.45,9312.57,9093.37,9235.17
2020/5/24,9235.17,9299.74,8852.62,9001.5
2020/5/25,9001.5,9081.79,8638.5,8914.38
2020/5/26,8914.38,9011.73,8701.43,8859.07
2020/5/27,8859.07,9225.63,8808.1,9163.42
2020/5/28,9163.42,9532.88,9056.48,9446.84
2020/5/29,9446.84,9622.14,9339.92,9415.96
2020/5/30,9415.96,9595.93,9328.99,9440.21
2020/5/31,9440.21,9738.39,9435.57,9505.38
2020/6/1,9505.38,9696.13,9389.9,9680.19
2020/6/2,9680.07,10378.32,9290.05,9522.85
2020/6/3,9522.85,9644.85,9397.26,9583.65
2020/6/4,9583.65,9883.61,9466.02,9783.87
2020/6/5,9783.87,9858.85,9607.01,9712.33
2020/6/6,9712.33,9732.12,9531.92,9706
